plan_title,Евангелие на каждый день – план чтения
day,reading
1,Мф 1; Мф 2
2,Мф 3; Мф 4
3,Мф 5; Мф 6
4,Мф 7; Мф 8
5,Мф 9; Мф 10
6,Мф 11; Мф 12
7,Мф 13; Мф 14
8,Мф 15; Мф 16
9,Мф 17; Мф 18
10,Мф 19; Мф 20
11,Мф 21; Мф 22
12,Мф 23; Мф 24
13,Мф 25; Мф 26
14,Мф 27; Мф 28
15,Мк 1; Мк 2
16,Мк 3; Мк 4
17,Мк 5; Мк 6
18,Мк 7; Мк 8
19,Мк 9; Мк 10
20,Мк 11; Мк 12
21,Мк 13; Мк 14
22,Мк 15; Мк 16
23,Лк 1; Лк 2
24,Лк 3; Лк 4
25,Лк 5; Лк 6
26,Лк 7; Лк 8
27,Лк 9; Лк 10
28,Лк 11; Лк 12
29,Лк 13; Лк 14
30,Лк 15; Лк 16
31,Лк 17; Лк 18
32,Лк 19; Лк 20
33,Лк 21; Лк 22
34,Лк 23; Лк 24
35,Ин 1; Ин 2
36,Ин 3; Ин 4
37,Ин 5; Ин 6
38,Ин 7; Ин 8
39,Ин 9; Ин 10
40,Ин 11; Ин 12
41,Ин 13; Ин 14
42,Ин 15; Ин 16
43,Ин 17; Ин 18
44,Ин 19; Ин 20
45,Ин 21
