plan_title,Классический план чтения Библии за 1
day,reading
1,Лк 5:27-39; Быт 1:1-2:25; Псалтырь1
2,Лк 6:1-26; Быт 3-5; Псалтырь2
3,Лк 6:27-49; Быт 6:1-7:24; Псалтырь3
4,Лк 7:1-17; Быт 8-10; Псалтырь4
5,Лк 7:18-50; Быт 11; Псалтырь5
6,Лк 8:1-25; Быт 12; Псалтырь6
7,Лк 8:26-56; Быт 13:1-14:24; Псалтырь7
8,Лк 9:1-27; Быт 15; Псалтырь8
9,Лк 9:28-62; Быт 16; Псалтырь9
10,Лк 10:1-20; Быт 17; Псалтырь10
11,Лк 10:21-42; Быт 18; Псалтырь11
12,Лк 11:1-28; Быт 19; Псалтырь12
13,Лк 11:29-54; Быт 20; Псалтырь13
14,Лк 12:1-31; Быт 21; Псалтырь14
15,Лк 12:32-59; Быт 22; Псалтырь15
16,Лк 13:1-17; Быт 23; Псалтырь16
17,Лк 13:18-35; Быт 24; Псалтырь17
18,Лк 14:1-24; Быт 25; Псалтырь18
19,Лк 14:25-35; Быт 26; Псалтырь19
20,Лк 15; Быт 27:1-45; Псалтырь20
21,Лк 16; Быт 27:46-28:22; Псалтырь21
22,Лк 17; Быт 29:1-30; Псалтырь22
23,Лк 18:1-17; Быт 29:31-30:43; Псалтырь23
24,Лк 18:18-43; Быт 31; Псалтырь24
25,Лк 19:1-27; Быт 32-33; Псалтырь25
26,Лк 19:28-48; Быт 34; Псалтырь26
27,Лк 20:1-26; Быт 35:1-36:43; Псалтырь27
28,Лк 20:27-47; Быт 37; Псалтырь28
29,Лк 21; Быт 38; Псалтырь29
30,Лк 22:1-38; Быт 39; Псалтырь30
31,Лк 22:39-71; Быт 40; Псалтырь31
32,Лк 23:1-25; Быт 41; Псалтырь32
33,Лк 23:26-56; Быт 42; Псалтырь33
34,Лк 24:1-12; Быт 43; Псалтырь34
35,Лк 24:13-53; Быт 44; Псалтырь35
36,Евр 1; Быт 45:1-46:27; Псалтырь36
37,Евр 2; Быт 46:28-47:31; Псалтырь37
38,Евр 3:1-4:13; Быт 48; Псалтырь38
39,Евр 4:14-6:12; Быт 49:1-50:26; Псалтырь39
40,Евр 6:13-20; Исх 1:1-2:25; Псалтырь40
41,Евр 7; Исх 3:1-4:31; Псалтырь41
42,Евр 8; Исх 5:1-6:27; Прит 1
43,Евр 9:1-22; Исх 6:28-8:32; Прит 2
44,Евр 9:23-10:18; Исх 9:1-10:29; Прит 3
45,Евр 10:19-39; Исх 11:1-12:51; Прит 4
46,Евр 11:1-22; Исх 13:1-14:31; Прит 5
47,Евр 11:23-40; Исх 15; Прит 6:1-7:5
48,Евр 12; Исх 16:1-17:16; Прит 7:6-27
49,Евр 13; Исх 18:1-19:25; Прит 8
50,Мф 1; Исх 20:1-21:36; Прит 9
51,Мф 2; Исх 22:1-23:33; Прит 10
52,Мф 3; Исх 24; Прит 11
53,Мф 4; Исх 25-27; Прит 12
54,Мф 5:1-20; Исх 28:1-29:46; Прит 13
55,Мф 5:21-48; Исх 30-32; Прит 14
56,Мф 6:1-18; Исх 33:1-34:35; Прит 15
57,Мф 6:19-34; Исх 35:1-36:38; Прит 16
58,Мф 7; Исх 37:1-38:31; Прит 17
59,Мф 8:1-13; Исх 39:1-40:38; Прит 18
60,Мф 8:14-34; Лев 1-2; Прит 19
61,Мф 9:1-17; Лев 3-4; Прит 20
62,Мф 9:18-38; Лев 5-6; Прит 21
63,Мф 10:1-25; Лев 7-8; Прит 22
64,Мф 10:26-42; Лев 9-10; Прит 23
65,Мф 11:1-19; Лев 11-12; Прит 24
66,Мф 11:20-30; Лев 13; Прит 25
67,Мф 12:1-21; Лев 14; Прит 26
68,Мф 12:22-50; Лев 15-16; Прит 27
69,Мф 13:1-23; Лев 17-18; Прит 28
70,Мф 13:24-58; Лев 19; Прит 29
71,Мф 14:1-21; Лев 20-21; Прит 30
72,Мф 14:22-36; Лев 22-23; Прит 31
73,Мф 15:1-20; Лев 24-25; Еккл 1:1-11
74,Мф 15:21-39; Лев 26-27; Еккл 1:12-2:26
75,Мф 16; Чис 1-2; Еккл 3:1-15
76,Мф 17; Чис 3-4; Еккл 3:16-4:16
77,Мф 18:1-20; Чис 5-6; Еккл 5
78,Мф 18:21-35; Чис 7-8; Еккл 6
79,Мф 19:1-15; Чис 9-10; Еккл 7
80,Мф 19:16-30; Чис 11-12; Еккл 8
81,Мф 20:1-16; Чис 13-14; Еккл 9:1-12
82,Мф 20:17-34; Чис 15-16; Еккл 9:13-10:20
83,Мф 21:1-27; Чис 17-18; Еккл 11:1-8
84,Мф 21:28-46; Чис 19-20; Еккл 11:9-12:14
85,Мф 22:1-22; Чис 21; Песн; 1:1-2:7
86,Мф 22:23-46; Чис 22:1-40; Песн; Соломона 2:8-3:5
87,Мф 23:1-12; Чис 22:41-23:26; Песн; Соломона 3:6-5:1
88,Мф 23:13-39; Чис 23:27-24:25; Песн; Соломона 5:2-6:3
89,Мф 24:1-31; Чис 25-27; Песн; 6:4-8:4
90,Мф 24:32-51; Чис 28-29; Песн; Соломона 8:5-14
91,Мф 25:1-30; Чис 30-31; Иов 1
92,Мф 25; 31-46; Чис 32-34; Иов 2
93,Мф 26:1-25; Чис 35-36; Иов 3
94,Мф 26:26-46; Втор 1-2; Иов 4
95,Мф 26:47-75; Втор 3-4; Иов 5
96,Мф 27:1-31; Втор 5-6; Иов 6
97,Мф 27:32-66; Втор 7-8; Иов 7
98,Мф 28; Втор 9-10; Иов 8
99,Деян 1; Втор 11-12; Иов 9
100,Деян 2:1-13; Втор 13-14; Иов 10
101,Деян 2:14-47; Втор 15-16; Иов 11
102,Деян 3; Втор 17-18; Иов 12
103,Деян 4:1-22; Втор 19-20; Иов 13
104,Деян 4:23-37; Втор 21-22; Иов 14
105,Деян 5:1-16; Втор 23-24; Иов 15
106,Деян 5:17-42; Втор 25-27; Иов 16
107,Деян 6; Втор 28; Иов 17
108,Деян 7:1-22; Втор 29-30; Иов 18
109,Деян 7:23-8:1a; Втор 31-32; Иов 19
110,Деян 8:1b-25; Втор 33-34; Иов 20
111,Деян 8:26-40; Нав 1-2; Иов 21
112,Деян 9:1-25; Нав 3:1-5:1; Иов 22
113,Деян 9:26-43; Нав 5:2-6:27; Иов 23
114,Деян 10:1-33; Нав 7-8; Иов 24
115,Деян 10:34-48; Нав 9-10; Иов 25
116,Деян 11:1-18; Нав 11-12; Иов 26
117,Деян 11:19-30; Нав 13-14; Иов 27
118,Деян 12; Нав 15-17; Иов 28
119,Деян 13:1-25; Нав 18-19; Иов 29
120,Деян 13:26-52; Нав 20-21; Иов 30
121,Деян 14; Нав 22; Иов 31
122,Деян 15:1-21; Нав 23-24; Иов 32
123,Деян 15:22-41; Суд 1; Иов 33
124,Деян 16:1-15; Суд 2-3; Иов 34
125,Деян 16:16-40; Суд 4-5; Иов 35
126,Деян 17:1-15; Суд 6; Иов 36
127,Деян 17:16-34; Суд 7-8; Иов 37
128,Деян 18; Суд 9; Иов 38
129,Деян 19:1-20; Суд 10:1-11:33; Иов 39
130,Деян 19:21-41; Суд 11:34-12:15; Иов 40
131,Деян 20:1-16; Суд 13; Иов 41
132,Деян 20:17-34; Суд 14-15; Иов 42
133,Деян 21:1-36; Суд 16; Псалтырь42
134,Деян 21:37-22:29; Суд 17-18; Псалтырь43
135,Деян 22:30-23:22; Суд 19; Псалтырь44
136,Деян 23:23-24:9; Суд 20; Псалтырь45
137,Деян 24:10-27; Суд 21; Псалтырь46
138,Деян 25; Руф 1-2; Псалтырь47
139,Деян 26:1-18; Руф 3-4; Псалтырь48
140,Деян 26:19-32; Первая Царств1:1-2:10; Псалтырь49
141,Деян 27:1-12; Первая Царств2:11-36; Псалтырь50
142,Деян 27:13-44; Первая Царств3; Псалтырь51
143,Деян 28:1-16; Первая Царств4-5; Псалтырь52
144,Деян 28:17-31; Первая Царств6-7; Псалтырь53
145,Рим 1:1-15; Первая Царств8; Псалтырь54
146,Рим 1:16-32; Первая Царств9:1-10:16; Псалтырь55
147,Рим 2:1-3:8; Первая Царств10:17-11:15; Псалтырь56
148,Рим 3:9-31; Первая Царств12; Псалтырь57
149,Рим 4; Первая Царств13; Псалтырь58
150,Рим 5; Первая Царств14; Псалтырь59
151,Рим 6; Первая Царств15; Псалтырь60
152,Рим 7; Первая Царств16; Псалтырь61
153,Рим 8; Первая Царств17:1-54; Псалтырь62
154,Рим 9:1-29; Первая Царств17:55-18:30; Псалтырь63
155,Рим 9:30-10:21; Первая Царств19; Псалтырь64
156,Рим 11:1-24; Первая Царств20; Псалтырь65
157,Рим 11:25-36; Первая Царств21-22; Псалтырь66
158,Рим 12; Первая Царств23-24; Псалтырь67
159,Рим 13; Первая Царств25; Псалтырь68
160,Рим 14; Первая Царств26; Псалтырь69
161,Рим 15:1-13; Первая Царств27-28; Псалтырь70
162,Рим 15:14-33; Первая Царств29-31; Псалтырь71
163,Рим 16; 2Цар 1; Псалтырь72
164,Мк 1:1-20; 2Цар 2:1-3:1; Пророка; Даниила 1
165,Мк 1:21-45; 2Цар 3:2-39; Пророка; Даниила 2:1-23
166,Мк 2; 2Цар 4-5; Дан 2:24-; 49
167,Мк 3:1-19; 2Цар 6; Дан 3
168,Мк 3:20-35; 2Цар 7-8; Дан; 4
169,Мк 4:1-20; 2Цар 9-10; Дан; 5
170,Мк 4:21-41; 2Цар 11-12; Пророка; Даниила 6
171,Мк 5:1-20; 2Цар 13; Дан 7
172,Мк 5:21-43; 2Цар 14; Дан 8
173,Мк 6:1-29; 2Цар 15; Дан 9
174,Мк 6:30-56; 2Цар 16; Дан; 10:1-21
175,Мк 7:1-13; 2Цар 17; Дан; 11:1-19
176,Мк 7:14-37; 2Цар 18; Дан; 11:21-45
177,Мк 8:1-21; 2Цар 19; Дан 12
178,Мк 8:22-9:1; 2Цар 20-21; Ос; 1:1-2:1
179,Мк 9:2-50; 2Цар 22; Ос 2:2-23
180,Мк 10:1-31; 2Цар 23; Ос 3
181,Мк 10:32-52; 2Цар 24; Ос 4:1-; 11a
182,Мк 11:1-14; 3Цар 1; Ос 4:11b-; 5:4
183,Мк 11:15-33; 3Цар 2; Ос 5:5-; 15
184,Мк 12:1-27; 3Цар 3; Ос 6:1-; 7:2
185,Мк 12:28-44; 3Цар 4-5; Ос; 7:3-16
186,Мк 13:1-13; 3Цар 6; Ос 8
187,Мк 13:14-37; 3Цар 7; Ос 9:1-; 16
188,Мк 14:1-31; 3Цар 8; Ос 9:17-; 10:15
189,Мк 14:32-72; 3Цар 9; Ос 11:1-; 11
190,Мк 15:1-20; 3Цар 10; Ос; 11:12-12:14
191,Мк 15:21-47; 3Цар 11; Ос 13
192,Мк 16; 3Цар 12:1-31; Ос 14
193,1Кор 1:1-17; 3Цар 12:32-13:34; Книга; Пророка Иоиля 1
194,1Кор 1:18-31; 3Цар 14; Книга; Пророка Иоиля 2:1-11
195,1Кор 2; 3Цар 15:1-32; Пророка; Иоиля 2:12-32
196,1Кор 3; 3Цар 15:33-16:34; Книга; Пророка Иоиля 3
197,1Кор 4; 3Цар 17; Пророка; Амоса 1
198,1Кор 5; 3Цар 18; Пророка; Амоса 2:1-3:2
199,1Кор 6; 3Цар 19; Пророка; Амоса 3:3-4:3
200,1Кор 7:1-24; 3Цар 20; Пророка; Амоса 4:4-13
201,1Кор 7:25-40; 3Цар 21; Книга; Пророка Амоса 5
202,1Кор 8; 3Цар 22; Пророка; Амоса 6
203,1Кор 9; 4Цар 1-2; Пророка; Амоса 7
204,1Кор 10; 4Цар 3; Пророка; Амоса 8
205,1Кор 11:1-16; 4Цар 4; Книга; Пророка Амоса 9
206,1Кор 11:17-34; 4Цар 5; Книга; Пророка Авдия 1
207,1Кор 12; 4Цар 6:1-7:2; Книга; пророка Ионы 1
208,1Кор 13; 4Цар 7:3-20; Книга; пророка Ионы 2
209,1Кор 14:1-25; 4Цар 8; Книга; пророка Ионы 3
210,1Кор 14:26-40; 4Цар 9; Книга; пророка Ионы 4
211,1Кор 15:1-34; 4Цар 10; Книга; пророка Михея 1
212,1Кор 15:35-58; 4Цар 11; Книга; пророка Михея 2
213,1Кор 16; 4Цар 12-13; Книга; пророка Михея 3
214,2Кор 1:1-2:4; 4Цар 14; Книга; пророка Михея 4:1-5:1
215,2Кор 2:5-3:18; 4Цар 15-16; Книга; пророка Михея 5:2-15
216,2Кор 4:1-5:10; 4Цар 17; Книга; пророка Михея 6
217,2Кор 5:11-6:13; 4Цар 18; Книга; пророка Михея 7
218,2Кор 6:14-7:16; 4Цар 19; Книга; пророка Наума 1
219,2Кор 8; 4Цар 20-21; Книга; пророка Наума 2
220,2Кор 9; 4Цар 22:1-23:35; Книга; пророка Наума 3
221,2Кор 10; 4Цар 23:36-24:20; Книга; пророка Аввакума 1
222,2Кор 11; 4Цар 25; Книга пророка; Аввакума 2
223,2Кор 12; 1Пар 1-2; Книга; пророка Аввакума 3
224,2Кор 13; 1Пар 3-4; Книга; пророка Софонии 1
225,Ин 1:1-18; 1Пар 5-6; Книга пророка; Софонии 2
